"provider","service_category","service_name","sku_hint","price_usd","unit_raw","unit_standardized","price_period","region","pricing_link","source_notes"
"Azure","Storage","Azure Blob Storage","Hot","0.0184","per GB per month","GB","month","eastus","https://azure.microsoft.com/pricing/details/storage/blobs/","public pricing (approx; verify)"
"Azure","Storage","Azure Blob Storage","Cool","0.01","per GB per month","GB","month","eastus","https://azure.microsoft.com/pricing/details/storage/blobs/","public pricing (approx; verify)"
"Azure","Storage","Azure Blob Storage","Archive","0.00099","per GB per month","GB","month","eastus","https://azure.microsoft.com/pricing/details/storage/blobs/","public pricing (approx; verify)"
"Azure","Block Storage","Azure Managed Disks","Premium SSD v2 (per GB)","0.12","per GB per month","GB","month","eastus","https://azure.microsoft.com/pricing/details/managed-disks/","public pricing (approx; verify)"
"Azure","Block Storage","Azure Managed Disks","Standard SSD (per GB)","0.08","per GB per month","GB","month","eastus","https://azure.microsoft.com/pricing/details/managed-disks/","public pricing (approx; verify)"
"Azure","Block Storage","Azure Managed Disks","Standard HDD (per GB)","0.045","per GB per month","GB","month","eastus","https://azure.microsoft.com/pricing/details/managed-disks/","public pricing (approx; verify)"
"Azure","Compute","Azure VM","D2 v3","0.096","per instance hour","instance","hour","eastus","https://azure.microsoft.com/pricing/details/virtual-machines/linux/","public pricing (approx; verify)"
"Azure","Compute","Azure VM","D4 v3","0.192","per instance hour","instance","hour","eastus","https://azure.microsoft.com/pricing/details/virtual-machines/linux/","public pricing (approx; verify)"
"Azure","Compute","Azure VM","F2s v2","0.085","per instance hour","instance","hour","eastus","https://azure.microsoft.com/pricing/details/virtual-machines/linux/","public pricing (approx; verify)"
"Azure","Compute","Azure VM","F4s v2","0.17","per instance hour","instance","hour","eastus","https://azure.microsoft.com/pricing/details/virtual-machines/linux/","public pricing (approx; verify)"
