"ds","yhat","yhat_lower","yhat_upper","run_id"
"2025-09-20","2041567.4799837063","1866659.9221229681","2240362.321138388","20251007T182325822264Z-781e5f"
"2025-09-21","2003625.204146786","1828367.9939266297","2202148.4568957556","20251007T182325822264Z-781e5f"
"2025-09-22","2520334.6581321093","2337811.0283309803","2714775.7797420598","20251007T182325822264Z-781e5f"
"2025-09-23","2497669.7284580655","2315991.988656983","2693249.3650183748","20251007T182325822264Z-781e5f"
"2025-09-24","2481397.0964920437","2280920.573158655","2664963.065621667","20251007T182325822264Z-781e5f"
"2025-09-25","2459794.7782816906","2260154.3509092326","2636215.302296132","20251007T182325822264Z-781e5f"
"2025-09-26","2257636.8539743535","2072622.9203625978","2443866.943793976","20251007T182325822264Z-781e5f"
"2025-09-27","1884242.4267535512","1691285.1363992854","2063498.493242362","20251007T182325822264Z-781e5f"
"2025-09-28","1865249.7927003151","1673242.358429516","2048854.2278939493","20251007T182325822264Z-781e5f"
"2025-09-29","2398586.0159755386","2199923.3288563243","2598504.9400785696","20251007T182325822264Z-781e5f"
