"ds","yhat","yhat_lower","yhat_upper","run_id"
"2025-09-20","1900479.7157845104","1723629.8687751277","2069685.2075043595","20251008T142806024907Z-154e4d1c-53e"
"2025-09-21","1847115.7882381112","1676671.7495979776","2024360.3097950614","20251008T142806024907Z-154e4d1c-53e"
"2025-09-22","2335048.0743099055","2168562.651975271","2507062.151701259","20251008T142806024907Z-154e4d1c-53e"
"2025-09-23","2298076.197808268","2119926.1297162245","2471484.592834661","20251008T142806024907Z-154e4d1c-53e"
"2025-09-24","2264400.1552929953","2082301.109198887","2440427.58128379","20251008T142806024907Z-154e4d1c-53e"
"2025-09-25","2231959.758952164","2059201.2503540681","2407475.1273124823","20251008T142806024907Z-154e4d1c-53e"
"2025-09-26","2080123.8403054038","1910281.8529678073","2260455.088244219","20251008T142806024907Z-154e4d1c-53e"
"2025-09-27","1653024.2246007144","1471758.8470195604","1814315.578483339","20251008T142806024907Z-154e4d1c-53e"
"2025-09-28","1622280.5173307192","1446245.6343956217","1794218.4238423018","20251008T142806024907Z-154e4d1c-53e"
"2025-09-29","2134374.8216848196","1963692.9187806363","2297451.37984193","20251008T142806024907Z-154e4d1c-53e"
