"bill_billing_period_start_date","line_item_usage_start_date","line_item_usage_end_date","line_item_product_code","line_item_usage_type","line_item_operation","product_region","line_item_resource_id","line_item_unblended_cost","line_item_blended_cost","line_item_unblended_rate","pricing_currency","line_item_usage_amount","resource_tags_user_env","resource_tags_user_app","identity_linked_account_id"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AmazonEC2","BoxUsage:m5.large","RunInstances","eu-west-1","arn:aws:amazonec2:eu-west-1:111111111111:res/9671","2.071616","1.878611","0.096","USD","21.57932931","prod","data-pipeline","1.11111E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AmazonCloudFront","Requests-HTTP-HTTPS","GetViewer","us-east-1","arn:aws:amazoncloudfront:us-east-1:333333333333:res/4370","0.048592","0.047921","4.0E-7","USD","121480.7898","prod","checkout","3.33333E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AmazonCloudFront","DataTransfer-Out-Bytes","GetViewer","us-east-1","arn:aws:amazoncloudfront:us-east-1:333333333333:res/1543","172.508341","161.957303","8.5E-8","USD","2.029509893E9","prod","checkout","3.33333E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AWSLambda","Lambda-Requests","Invoke","eu-west-1","arn:aws:awslambda:eu-west-1:333333333333:res/9422","0.003156","0.002866","2.0E-7","USD","15779.84568","prod","analytics","3.33333E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AWSLambda","Lambda-GB-Second","Invoke","eu-west-1","arn:aws:awslambda:eu-west-1:333333333333:res/6625","0.102182","0.099946","1.67E-8","USD","6130917.086","prod","analytics","3.33333E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AmazonEBS","EBS:SnapshotUsage","CreateVolume","eu-west-1","arn:aws:amazonebs:eu-west-1:333333333333:res/9976","0.125909","0.121104","6.85E-5","USD","1838.265344","staging","analytics","3.33333E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AmazonEBS","EBS:VolumeUsage.gp3","CreateVolume","eu-west-1","arn:aws:amazonebs:eu-west-1:333333333333:res/6751","0.639866","0.587922","1.09589E-4","USD","5838.772756","staging","analytics","3.33333E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AmazonS3","DataTransfer-Out-Bytes","DataTransferOut","us-west-2","arn:aws:amazons3:us-west-2:333333333333:res/5497","203.380922","198.716211","9.0E-8","USD","2.259788019E9","prod","analytics","3.33333E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AmazonS3","Requests-Tier1","DataTransferOut","us-west-2","arn:aws:amazons3:us-west-2:333333333333:res/9939","0.058855","0.054727","4.0E-7","USD","147137.4434","prod","analytics","3.33333E+11"
"01/09/24","20/09/24 00:00","20/09/24 01:00","AmazonEC2","BoxUsage:m7g.large","RunInstances","us-east-1","arn:aws:amazonec2:us-east-1:333333333333:res/6426","1.409852","1.310786","0.084","USD","16.78395041","prod","ml-platform","3.33333E+11"
