"run_id","created_at","category","subtype","region","assumption","metric","est_monthly_saving_usd","one_time_saving_usd","action_sql_hint","source_note","rline_item_resource_id"
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","EC2 Right-size","m5.large→m7g.large","eu-west-1","ARM compatible workload","Hours:164343 insts:6091","3286.86","0.0","Identify ASGs/LaunchTemplates using m5.large; test m7g.large in eu-west-1.","heuristics-v1",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","EC2 Right-size","m5.large→m7g.large","us-east-1","ARM compatible workload","Hours:168697 insts:6185","3373.96","0.0","Identify ASGs/LaunchTemplates using m5.large; test m7g.large in us-east-1.","heuristics-v1",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","EC2 Right-size","m5.large→m7g.large","us-west-2","ARM compatible workload","Hours:165252 insts:6111","3305.06","0.0","Identify ASGs/LaunchTemplates using m5.large; test m7g.large in us-west-2.","heuristics-v1",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","AmazonS3 Optimization","Storage Class Transition","us-east-1","LLM-derived heuristic | capped_abs","","100000.0","0.0","Transition infrequently accessed data to S3 Standard-IA or S3 One Zone-IA.","llm",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","AmazonS3 Optimization","Storage Class Transition","eu-west-1","LLM-derived heuristic | capped_abs","","100000.0","0.0","Transition infrequently accessed data to S3 Standard-IA or S3 One Zone-IA.","llm",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","AmazonS3 Optimization","Storage Class Transition","us-west-2","LLM-derived heuristic | capped_abs","","100000.0","0.0","Transition infrequently accessed data to S3 Standard-IA or S3 One Zone-IA.","llm",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","AmazonCloudFront Optimization","Caching Configuration","us-west-2","LLM-derived heuristic | capped_abs","","100000.0","0.0","Optimize cache behavior and TTL settings.","llm",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","AmazonCloudFront Optimization","Caching Configuration","us-east-1","LLM-derived heuristic | capped_abs","","100000.0","0.0","Optimize cache behavior and TTL settings.","llm",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","AmazonCloudFront Optimization","Caching Configuration","eu-west-1","LLM-derived heuristic | capped_abs","","100000.0","0.0","Optimize cache behavior and TTL settings.","llm",
"20251010T164350736112Z","2025-10-10T16:43:50.736129+00:00","AmazonEC2 Optimization","Instance Type Right-sizing","us-east-1","LLM-derived heuristic","","5000.0","0.0","Right-size EC2 instances based on utilization metrics.","llm",
